Ticker,Company,Sector,Industry
XLC,ETF,Communication Services,Communication Services Sector ETF
XLK,ETF,Technology,Technology Sector ETF
XLV,ETF,Health Care,Health Care Sector ETF
XLF,ETF,Financials,Financial Sector ETF
XLI,ETF,Industrials,Industrial Sector ETF
XLY,ETF,Consumer Discretionary,Consumer Discretionary Sector ETF
XLP,ETF,Consumer Staples,Consumer Staples Sector ETF
XLE,ETF,Energy,Energy Sector ETF
XLB,ETF,Materials,Materials Sector ETF
XLRE,ETF,Real Estate,Real Estate Sector ETF
XLU,ETF,Utilities,Utilities Sector ETF
XBI,ETF,Health Care,Biotechnology ETF
XHB,ETF,Consumer Discretionary,Homebuilders ETF
CARZ,ETF,Consumer Discretionary,Auto Manufacturers ETF
XHE,ETF,Health Care,Medical Equipment ETF
KIE,ETF,Financials,Insurance ETF
XAR,ETF,Industrials,Aerospace & Defense ETF
SMH,ETF,Technology,Semiconductors ETF
IGV,ETF,Technology,Software ETF
XRT,ETF,Consumer Discretionary,Retail ETF
XOP,ETF,Energy,Oil & Gas Exploration ETF
XME,ETF,Materials,Metals & Mining ETF
KBE,ETF,Financials,Banking ETF
PBJ,ETF,Consumer Staples,Food & Beverage ETF
KCE,ETF,Financials,Capital Markets ETF
FDN,ETF,Communication Services,Internet ETF
PEJ,ETF,Consumer Discretionary,Leisure & Entertainment ETF
VHT,ETF,Health Care,Broad Health Care ETF
VAW,ETF,Materials,Broad Materials ETF
IYT,ETF,Industrials,Transportation ETF
VGT,ETF,Technology,Broad Technology ETF
ITB,ETF,Consumer Discretionary,Home Construction ETF
IDRV,ETF,Consumer Discretionary,Self-Driving / EV ETF
IBB,ETF,Health Care,Biotechnology ETF
VCR,ETF,Consumer Discretionary,Broad Consumer Discretionary ETF
VNQ,ETF,Real Estate,REIT ETF
IHI,ETF,Health Care,Medical Devices ETF
IAK,ETF,Financials,Insurance ETF
ITA,ETF,Industrials,Aerospace & Defense ETF
VDC,ETF,Consumer Staples,Broad Consumer Staples ETF
VIS,ETF,Industrials,Broad Industrials ETF
SOXX,ETF,Technology,Semiconductors ETF
XSW,ETF,Technology,Software & Services ETF
RTH,ETF,Consumer Discretionary,Retail ETF
VPU,ETF,Utilities,Broad Utilities ETF
VFH,ETF,Financials,Broad Financials ETF
XES,ETF,Energy,Oil & Gas Equipment ETF
PICK,ETF,Materials,Global Metals & Mining ETF
VOX,ETF,Communication Services,Telecom ETF
KRE,ETF,Financials,Regional Banks ETF
FTXG,ETF,Industrials,Global Industrials ETF
IAI,ETF,Financials,Broker-Dealers ETF
PNQI,ETF,Communication Services,Internet ETF
VDE,ETF,Energy,Broad Energy ETF
PBS,ETF,Consumer Staples,Media & Publishing ETF
IXJ,ETF,Health Care,Global Health Care ETF
IYM,ETF,Materials,Basic Materials ETF
FTXR,ETF,Industrials,Transportation ETF
QQQ,ETF,Technology,Nasdaq-100 ETF
PKB,ETF,Consumer Discretionary,Building & Construction ETF
DRIV,ETF,Consumer Discretionary,Autonomous & EV ETF
ARKG,ETF,Health Care,Genomics & Biotech ETF
IYC,ETF,Consumer Discretionary,Consumer Services ETF
SCHH,ETF,Real Estate,REIT ETF
PPA,ETF,Industrials,Aerospace & Defense ETF
IYK,ETF,Consumer Staples,Consumer Staples ETF
IYJ,ETF,Industrials,Industrials ETF
XSD,ETF,Technology,Semiconductor Equipment ETF
FTEC,ETF,Technology,Technology ETF
ONLN,ETF,Consumer Discretionary,Online Retail ETF
IDU,ETF,Utilities,Utilities ETF
IYF,ETF,Financials,Financials ETF
PXE,ETF,Energy,Oil & Gas Production ETF
REMX,ETF,Materials,Rare Earth & Strategic Metals ETF
IXP,ETF,Communication Services,Global Telecom ETF
TAN,ETF,Energy,Solar Energy ETF
IAT,ETF,Financials,Regional Banks ETF
ARKW,ETF,Technology,Internet & Innovation ETF
IYE,ETF,Energy,Energy ETF
BJK,ETF,Consumer Discretionary,Gaming & Casinos ETF
^GSPC,MARKET INDICATOR,S&P,MARKET INDICATOR
^DJI,MARKET INDICATOR,DOW JONES,MARKET INDICATOR
^NYA,MARKET INDICATOR,NYSE,MARKET INDICATOR
^RUT,MARKET INDICATOR,IWM,MARKET INDICATOR
^VIX,MARKET INDICATOR,FEAR INDEX,MARKET INDICATOR
^TNX,MARKET INDICATOR,VOLATILITY,MARKET INDICATOR
^TYX,MARKET INDICATOR,10 YEAR TREASURY,MARKET INDICATOR
^IXIC,MARKET INDICATOR,NASDAQ,MARKET INDICATOR
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research
AAPL,Apple Inc,Technology,Consumer Electronics
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services
ABT,Abbott Laboratories,Healthcare,Medical Devices
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified
ACN,Accenture plc,Technology,Information Technology Services
ADBE,Adobe Inc,Technology,Software - Application
ADI,Analog Devices Inc,Technology,Semiconductors
ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products
ADP,Automatic Data Processing Inc,Technology,Software - Application
ADSK,Autodesk Inc,Technology,Software - Application
AEE,Ameren Corp,Utilities,Utilities - Regulated Electric
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric
AES,AES Corp,Utilities,Utilities - Diversified
AFL,Aflac Inc,Financial,Insurance - Life
AIG,American International Group Inc,Financial,Insurance - Diversified
AIZ,Assurant Inc,Financial,Insurance - Property & Casualty
AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure
ALB,Albemarle Corp,Basic Materials,Specialty Chemicals
ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies
ALL,Allstate Corp,Financial,Insurance - Property & Casualty
ALLE,Allegion plc,Industrials,Security & Protection Services
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials
AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers
AMD,Advanced Micro Devices Inc,Technology,Semiconductors
AME,Ametek Inc,Industrials,Specialty Industrial Machinery
AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General
AMP,Ameriprise Financial Inc,Financial,Asset Management
AMT,American Tower Corp,Real Estate,REIT - Specialty
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail
ANET,Arista Networks Inc,Technology,Computer Hardware
AON,Aon plc,Financial,Insurance Brokers
AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery
APA,APA Corporation,Energy,Oil & Gas E&P
APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals
APH,Amphenol Corp,Technology,Electronic Components
APO,Apollo Global Management Inc,Financial,Asset Management
APP,Applovin Corp,Communication Services,Advertising Agencies
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office
ARES,Ares Management Corp,Financial,Asset Management
ATO,Atmos Energy Corp,Utilities,Utilities - Regulated Gas
AVB,Avalonbay Communities Inc,Real Estate,REIT - Residential
AVGO,Broadcom Inc,Technology,Semiconductors
AVY,Avery Dennison Corp,Consumer Cyclical,Packaging & Containers
AWK,American Water Works Co. Inc,Utilities,Utilities - Regulated Water
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense
AXP,American Express Co,Financial,Credit Services
AZO,Autozone Inc,Consumer Cyclical,Auto Parts
BA,Boeing Co,Industrials,Aerospace & Defense
BAC,Bank Of America Corp,Financial,Banks - Diversified
BALL,Ball Corp,Consumer Cyclical,Packaging & Containers
BAX,Baxter International Inc,Healthcare,Medical Instruments & Supplies
BBY,Best Buy Co. Inc,Consumer Cyclical,Specialty Retail
BDX,Becton Dickinson & Co,Healthcare,Medical Instruments & Supplies
BEN,"Franklin Resources, Inc",Financial,Asset Management
BF-B,Brown-Forman Corp,Consumer Defensive,Beverages - Wineries & Distilleries
BG,Bunge Global SA,Consumer Defensive,Farm Products
BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General
BK,Bank Of New York Mellon Corp,Financial,Banks - Diversified
BKNG,Booking Holdings Inc,Consumer Cyclical,Travel Services
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services
BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment
BLK,Blackrock Inc,Financial,Asset Management
BMY,Bristol-Myers Squibb Co,Healthcare,Drug Manufacturers - General
BR,"Broadridge Financial Solutions, Inc",Technology,Information Technology Services
BRK-B,Berkshire Hathaway Inc,Financial,Insurance - Diversified
BRO,"Brown & Brown, Inc",Financial,Insurance Brokers
BSX,Boston Scientific Corp,Healthcare,Medical Devices
BX,Blackstone Inc,Financial,Asset Management
BXP,BXP Inc,Real Estate,REIT - Office
C,Citigroup Inc,Financial,Banks - Diversified
CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods
CAH,"Cardinal Health, Inc",Healthcare,Medical Distribution
CARR,Carrier Global Corp,Industrials,Building Products & Equipment
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery
CB,Chubb Limited,Financial,Insurance - Property & Casualty
CBOE,Cboe Global Markets Inc,Financial,Financial Data & Stock Exchanges
CBRE,CBRE Group Inc,Real Estate,Real Estate Services
CCI,Crown Castle Inc,Real Estate,REIT - Specialty
CCL,Carnival Corp,Consumer Cyclical,Travel Services
CDNS,"Cadence Design Systems, Inc",Technology,Software - Application
CDW,CDW Corp,Technology,Information Technology Services
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers
CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs
CFG,Citizens Financial Group Inc,Financial,Banks - Regional
CHD,"Church & Dwight Co., Inc",Consumer Defensive,Household & Personal Products
CHRW,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics
CHTR,Charter Communications Inc,Communication Services,Telecom Services
CI,Cigna Group,Healthcare,Healthcare Plans
CIEN,CIENA Corp,Technology,Communication Equipment
CINF,Cincinnati Financial Corp,Financial,Insurance - Property & Casualty
CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products
CLX,Clorox Co,Consumer Defensive,Household & Personal Products
CMCSA,Comcast Corp,Communication Services,Telecom Services
CME,CME Group Inc,Financial,Financial Data & Stock Exchanges
CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants
CMI,Cummins Inc,Industrials,Specialty Industrial Machinery
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
CNC,Centene Corp,Healthcare,Healthcare Plans
CNP,Centerpoint Energy Inc,Utilities,Utilities - Regulated Electric
COF,Capital One Financial Corp,Financial,Credit Services
COIN,Coinbase Global Inc,Financial,Financial Data & Stock Exchanges
COO,"Cooper Companies, Inc",Healthcare,Medical Instruments & Supplies
COP,Conoco Phillips,Energy,Oil & Gas E&P
COR,Cencora Inc,Healthcare,Medical Distribution
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores
CPAY,Corpay Inc,Technology,Software - Infrastructure
CPB,Campbells Co,Consumer Defensive,Packaged Foods
CPRT,"Copart, Inc",Industrials,Specialty Business Services
CPT,Camden Property Trust,Real Estate,REIT - Residential
CRH,CRH Plc,Basic Materials,Building Materials
CRL,Charles River Laboratories International Inc,Healthcare,Diagnostics & Research
CRM,Salesforce Inc,Technology,Software - Application
CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure
CSCO,"Cisco Systems, Inc",Technology,Communication Equipment
CSGP,"Costar Group, Inc",Real Estate,Real Estate Services
CSX,CSX Corp,Industrials,Railroads
CTAS,Cintas Corporation,Industrials,Specialty Business Services
CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P
CTSH,Cognizant Technology Solutions Corp,Technology,Information Technology Services
CTVA,Corteva Inc,Basic Materials,Agricultural Inputs
CVNA,Carvana Co,Consumer Cyclical,Auto & Truck Dealerships
CVS,CVS Health Corp,Healthcare,Healthcare Plans
CVX,Chevron Corp,Energy,Oil & Gas Integrated
D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric
DAL,"Delta Air Lines, Inc",Industrials,Airlines
DASH,DoorDash Inc,Consumer Cyclical,Internet Retail
DD,DuPont de Nemours Inc,Basic Materials,Specialty Chemicals
DDOG,Datadog Inc,Technology,Software - Application
DE,Deere & Co,Industrials,Farm & Heavy Construction Machinery
DECK,Deckers Outdoor Corp,Consumer Cyclical,Footwear & Accessories
DELL,Dell Technologies Inc,Technology,Computer Hardware
DG,Dollar General Corp,Consumer Defensive,Discount Stores
DGX,"Quest Diagnostics, Inc",Healthcare,Diagnostics & Research
DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction
DHR,Danaher Corp,Healthcare,Diagnostics & Research
DIS,Walt Disney Co,Communication Services,Entertainment
DLR,Digital Realty Trust Inc,Real Estate,REIT - Specialty
DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores
DOC,Healthpeak Properties Inc,Real Estate,REIT - Healthcare Facilities
DOV,Dover Corp,Industrials,Specialty Industrial Machinery
DOW,Dow Inc,Basic Materials,Chemicals
DPZ,Dominos Pizza Inc,Consumer Cyclical,Restaurants
DRI,"Darden Restaurants, Inc",Consumer Cyclical,Restaurants
DTE,DTE Energy Co,Utilities,Utilities - Regulated Electric
DUK,Duke Energy Corp,Utilities,Utilities - Regulated Electric
DVA,DaVita Inc,Healthcare,Medical Care Facilities
DVN,Devon Energy Corp,Energy,Oil & Gas E&P
DXCM,Dexcom Inc,Healthcare,Medical Devices
EA,"Electronic Arts, Inc",Communication Services,Electronic Gaming & Multimedia
EBAY,EBay Inc,Consumer Cyclical,Internet Retail
ECL,"Ecolab, Inc",Basic Materials,Specialty Chemicals
ED,"Consolidated Edison, Inc",Utilities,Utilities - Regulated Electric
EFX,"Equifax, Inc",Industrials,Consulting Services
EG,Everest Group Ltd,Financial,Insurance - Reinsurance
EIX,Edison International,Utilities,Utilities - Regulated Electric
EL,"Estee Lauder Cos., Inc",Consumer Defensive,Household & Personal Products
ELV,Elevance Health Inc,Healthcare,Healthcare Plans
EME,"Emcor Group, Inc",Industrials,Engineering & Construction
EMR,Emerson Electric Co,Industrials,Specialty Industrial Machinery
EOG,"EOG Resources, Inc",Energy,Oil & Gas E&P
EPAM,EPAM Systems Inc,Technology,Information Technology Services
EQIX,Equinix Inc,Real Estate,REIT - Specialty
EQR,Equity Residential Properties Trust,Real Estate,REIT - Residential
EQT,EQT Corp,Energy,Oil & Gas E&P
ERIE,Erie Indemnity Co,Financial,Insurance Brokers
ES,Eversource Energy,Utilities,Utilities - Regulated Electric
ESS,"Essex Property Trust, Inc",Real Estate,REIT - Residential
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery
ETR,Entergy Corp,Utilities,Utilities - Regulated Electric
EVRG,Evergy Inc,Utilities,Utilities - Regulated Electric
EW,Edwards Lifesciences Corp,Healthcare,Medical Devices
EXC,Exelon Corp,Utilities,Utilities - Regulated Electric
EXE,Expand Energy Corp,Energy,Oil & Gas E&P
EXPD,"Expeditors International Of Washington, Inc",Industrials,Integrated Freight & Logistics
EXPE,Expedia Group Inc,Consumer Cyclical,Travel Services
EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial
F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers
FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P
FAST,Fastenal Co,Industrials,Industrial Distribution
FCX,Freeport-McMoRan Inc,Basic Materials,Copper
FDS,Factset Research Systems Inc,Financial,Financial Data & Stock Exchanges
FDX,Fedex Corp,Industrials,Integrated Freight & Logistics
FE,Firstenergy Corp,Utilities,Utilities - Regulated Electric
FFIV,F5 Inc,Technology,Software - Infrastructure
FICO,Fair Isaac Corp,Technology,Software - Application
FIS,"Fidelity National Information Services, Inc",Technology,Information Technology Services
FISV,"Fiserv, Inc",Technology,Information Technology Services
FITB,Fifth Third Bancorp,Financial,Banks - Regional
FIX,"Comfort Systems USA, Inc",Industrials,Engineering & Construction
FOX,Fox Corporation,Communication Services,Entertainment
FOXA,Fox Corporation,Communication Services,Entertainment
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail
FSLR,First Solar Inc,Technology,Solar
FTNT,Fortinet Inc,Technology,Software - Infrastructure
FTV,Fortive Corp,Technology,Scientific & Technical Instruments
GD,General Dynamics Corp,Industrials,Aerospace & Defense
GDDY,Godaddy Inc,Technology,Software - Infrastructure
GE,GE Aerospace,Industrials,Aerospace & Defense
GEHC,GE HealthCare Technologies Inc,Healthcare,Medical Devices
GEN,Gen Digital Inc,Technology,Software - Infrastructure
GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery
GILD,"Gilead Sciences, Inc",Healthcare,Drug Manufacturers - General
GIS,"General Mills, Inc",Consumer Defensive,Packaged Foods
GL,Globe Life Inc,Financial,Insurance - Life
GLW,"Corning, Inc",Technology,Electronic Components
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers
GNRC,Generac Holdings Inc,Industrials,Specialty Industrial Machinery
GOOG,Alphabet Inc,Communication Services,Internet Content & Information
GOOGL,Alphabet Inc,Communication Services,Internet Content & Information
GPC,Genuine Parts Co,Consumer Cyclical,Auto Parts
GPN,"Global Payments, Inc",Technology,Software - Infrastructure
GRMN,Garmin Ltd,Technology,Scientific & Technical Instruments
GS,"Goldman Sachs Group, Inc",Financial,Capital Markets
GWW,W.W. Grainger Inc,Industrials,Industrial Distribution
